Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,LiveShaping.csproj,File,LiveShaping.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LiveShaping.csproj,File,LiveShaping.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LiveShaping.csproj,File,Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LiveShaping.csproj,File,Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,MainWindow.xaml.cs,14,12,P:System.Windows.FrameworkElement.DataContext,,,,,this.DataContext = _lapChart.GetLapInfo();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,MainWindow.xaml.cs,11,8,M:System.Windows.Window.#ctor,,,,,public MainWindow()          {              InitializeComponent();              this.DataContext = _lapChart.GetLapInfo();                Task.Run(async () =>              {                  bool raceContinues = true;                  while (raceContinues)                  {                      await Task.Delay(3000);                      raceContinues = _lapChart.NextLap();                  }              });          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\MainWindow.g.i.cs,58,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\MainWindow.g.i.cs,58,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LiveShaping.csproj,File,obj\Debug\MainWindow.g.i.cs,55,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/LiveShaping;component/mainwindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LiveShaping.csproj,File,obj\Debug\MainWindow.g.i.cs,55,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/LiveShaping;component/mainwindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,MainWindow.xaml.cs,14,12,P:System.Windows.FrameworkElement.DataContext,,,,,this.DataContext = _lapChart.GetLapInfo();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,MainWindow.xaml.cs,11,8,M:System.Windows.Window.#ctor,,,,,public MainWindow()          {              InitializeComponent();              this.DataContext = _lapChart.GetLapInfo();                Task.Run(async () =>              {                  bool raceContinues = true;                  while (raceContinues)                  {                      await Task.Delay(3000);                      raceContinues = _lapChart.NextLap();                  }              });          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\MainWindow.g.i.cs,41,83,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\MainWindow.g.i.cs,41,53,T:System.Windows.Window,,,,,Window
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\App.g.i.cs,65,12,M:System.Windows.Application.Run,,,,,app.Run();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LiveShaping.csproj,File,obj\Debug\App.g.i.cs,50,12,T:System.Uri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LiveShaping.csproj,File,obj\Debug\App.g.i.cs,50,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LiveShaping.csproj,File,obj\Debug\App.g.i.cs,50,12,T:System.Uri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\App.g.i.cs,50,12,P:System.Windows.Application.StartupUri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\App.g.i.cs,40,46,M:System.Windows.Application.#ctor,,,,,Application
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LiveShaping.csproj,File,obj\Debug\App.g.i.cs,40,46,T:System.Windows.Application,,,,,Application
